frame_index,seq_num,seq_delta,iso_timestamp,pc_recv_time_s,inter_frame_delay_ms,instant_fps,moving_avg_fps,symbol_name,symbol_id,esp_timestamp_us,esp_ts_delta_us,payload_type,payload_value,frame_bytes,crc_ok
1,24,1,2026-08-13T18:14:23.903698,1786659263.903698,0.0,0.0,0.0,LUX_SYM_HEARTBEAT,0x0001,12046806,0,u32,12020,18,True
2,25,1,2026-08-13T18:14:24.303812,1786659264.303812,400.114,2.5,2.5,APP_COUNTER,0x0101,12046810,4,u32,12,18,True
3,26,1,2026-08-13T18:14:24.308322,1786659264.308322,4.51,221.73,4.94,LUX_SYM_HEARTBEAT,0x0001,13046806,999996,u32,13020,18,True
4,27,1,2026-08-13T18:14:25.298327,1786659265.298327,990.005,1.01,2.15,APP_COUNTER,0x0101,13046810,4,u32,13,18,True
5,28,1,2026-08-13T18:14:25.302083,1786659265.302083,3.756,266.22,2.86,LUX_SYM_HEARTBEAT,0x0001,14046806,999996,u32,14020,18,True
6,29,1,2026-08-13T18:14:26.332920,1786659266.332920,1030.837,0.97,2.06,APP_COUNTER,0x0101,14046810,4,u32,14,18,True
7,30,1,2026-08-13T18:14:26.349942,1786659266.349942,17.022,58.75,2.45,LUX_SYM_HEARTBEAT,0x0001,15046806,999996,u32,15020,18,True
8,31,1,2026-08-13T18:14:27.301732,1786659267.301732,951.79,1.05,2.06,APP_COUNTER,0x0101,15046810,4,u32,15,18,True
9,32,1,2026-08-13T18:14:27.309081,1786659267.309081,7.35,136.06,2.35,LUX_SYM_HEARTBEAT,0x0001,16046806,999996,u32,16020,18,True
10,33,1,2026-08-13T18:14:28.298097,1786659268.298097,989.015,1.01,2.05,APP_COUNTER,0x0101,16046810,4,u32,16,18,True
11,34,1,2026-08-13T18:14:28.299881,1786659268.299881,1.784,560.59,2.27,LUX_SYM_HEARTBEAT,0x0001,17046806,999996,u32,17020,18,True
12,35,1,2026-08-13T18:14:29.299035,1786659269.299035,999.155,1.0,2.04,APP_COUNTER,0x0101,17046810,4,u32,17,18,True
13,36,1,2026-08-13T18:14:29.301342,1786659269.301342,2.307,433.43,2.22,LUX_SYM_HEARTBEAT,0x0001,18046806,999996,u32,18020,18,True
14,37,1,2026-08-13T18:14:30.298142,1786659270.298142,996.799,1.0,2.03,APP_COUNTER,0x0101,18046810,4,u32,18,18,True
15,38,1,2026-08-13T18:14:30.299801,1786659270.299801,1.659,602.63,2.19,LUX_SYM_HEARTBEAT,0x0001,19046806,999996,u32,19020,18,True
16,39,1,2026-08-13T18:14:31.297863,1786659271.297863,998.062,1.0,2.03,APP_COUNTER,0x0101,19046810,4,u32,19,18,True
17,40,1,2026-08-13T18:14:31.305668,1786659271.305668,7.805,128.12,2.16,LUX_SYM_HEARTBEAT,0x0001,20046806,999996,u32,20020,18,True
18,41,1,2026-08-13T18:14:32.296992,1786659272.296992,991.323,1.01,2.03,APP_COUNTER,0x0101,20046810,4,u32,20,18,True
19,42,1,2026-08-13T18:14:32.298407,1786659272.298407,1.415,706.83,2.14,LUX_SYM_HEARTBEAT,0x0001,21046806,999996,u32,21020,18,True
20,43,1,2026-08-13T18:14:33.297184,1786659273.297184,998.777,1.0,2.02,APP_COUNTER,0x0101,21046810,4,u32,21,18,True
21,44,1,2026-08-13T18:14:33.298999,1786659273.298999,1.815,551.01,2.11,LUX_SYM_HEARTBEAT,0x0001,22046806,999996,u32,22020,18,True
22,45,1,2026-08-13T18:14:34.298256,1786659274.298256,999.258,1.0,1.9,APP_COUNTER,0x0101,22046810,4,u32,22,18,True
23,46,1,2026-08-13T18:14:34.300479,1786659274.300479,2.223,449.94,2.11,LUX_SYM_HEARTBEAT,0x0001,23046806,999996,u32,23020,18,True
24,47,1,2026-08-13T18:14:35.299857,1786659275.299857,999.379,1.0,1.9,APP_COUNTER,0x0101,23046810,4,u32,23,18,True
25,48,1,2026-08-13T18:14:35.308309,1786659275.308309,8.451,118.32,2.12,LUX_SYM_HEARTBEAT,0x0001,24046806,999996,u32,24020,18,True
26,49,1,2026-08-13T18:14:36.298808,1786659276.298808,990.499,1.01,1.91,APP_COUNTER,0x0101,24046810,4,u32,24,18,True
27,50,1,2026-08-13T18:14:36.307612,1786659276.307612,8.805,113.57,2.11,LUX_SYM_HEARTBEAT,0x0001,25046806,999996,u32,25020,18,True
28,51,1,2026-08-13T18:14:37.297878,1786659277.297878,990.266,1.01,1.9,APP_COUNTER,0x0101,25046810,4,u32,25,18,True
29,52,1,2026-08-13T18:14:37.300482,1786659277.300482,2.604,384.06,2.11,LUX_SYM_HEARTBEAT,0x0001,26046806,999996,u32,26020,18,True
30,53,1,2026-08-13T18:14:38.298188,1786659278.298188,997.706,1.0,1.9,APP_COUNTER,0x0101,26046810,4,u32,26,18,True
