frame_index,seq_num,seq_delta,iso_timestamp,pc_recv_time_s,inter_frame_delay_ms,instant_fps,moving_avg_fps,symbol_name,symbol_id,esp_timestamp_us,esp_ts_delta_us,payload_type,payload_value,frame_bytes,crc_ok
1,140,1,2026-08-13T18:18:23.493398,1786659503.493398,0.0,0.0,0.0,LUX_SYM_HEARTBEAT,0x0001,71406843,0,u32,71380,18,True
2,141,1,2026-08-13T18:18:23.493398,1786659503.493398,0.0,0.0,0.0,APP_COUNTER,0x0101,71406853,10,u32,70,18,True
3,142,1,2026-08-13T18:18:24.441791,1786659504.441791,948.393,1.05,2.11,LUX_SYM_HEARTBEAT,0x0001,72406843,999990,u32,72380,18,True
4,143,1,2026-08-13T18:18:24.441791,1786659504.441791,0.0,0.0,3.16,APP_COUNTER,0x0101,72406856,13,u32,71,18,True
5,144,1,2026-08-13T18:18:25.439657,1786659505.439657,997.866,1.0,2.06,LUX_SYM_HEARTBEAT,0x0001,73406843,999987,u32,73380,18,True
6,145,1,2026-08-13T18:18:25.439657,1786659505.439657,0.0,0.0,2.57,APP_COUNTER,0x0101,73406853,10,u32,72,18,True
7,148,3,2026-08-13T18:18:27.512079,1786659507.512079,2072.422,0.48,1.49,LUX_SYM_HEARTBEAT,0x0001,75406843,1999990,u32,75380,18,True
8,149,1,2026-08-13T18:18:27.512079,1786659507.512079,0.0,0.0,1.74,APP_COUNTER,0x0101,75406853,10,u32,74,18,True
9,150,1,2026-08-13T18:18:28.415275,1786659508.415275,903.196,1.11,1.63,LUX_SYM_HEARTBEAT,0x0001,76406843,999990,u32,76380,18,True
10,151,1,2026-08-13T18:18:28.415275,1786659508.415275,0.0,0.0,1.83,APP_COUNTER,0x0101,76406853,10,u32,75,18,True
11,152,1,2026-08-13T18:18:29.433743,1786659509.433743,1018.468,0.98,1.68,LUX_SYM_HEARTBEAT,0x0001,77406843,999990,u32,77380,18,True
12,153,1,2026-08-13T18:18:29.433743,1786659509.433743,0.0,0.0,1.85,APP_COUNTER,0x0101,77406853,10,u32,76,18,True
13,154,1,2026-08-13T18:18:30.457497,1786659510.457497,1023.754,0.98,1.72,LUX_SYM_HEARTBEAT,0x0001,78406848,999995,u32,78380,18,True
14,155,1,2026-08-13T18:18:30.457497,1786659510.457497,0.0,0.0,1.87,APP_COUNTER,0x0101,78406858,10,u32,77,18,True
15,156,1,2026-08-13T18:18:31.480756,1786659511.480756,1023.259,0.98,1.75,LUX_SYM_HEARTBEAT,0x0001,79406843,999985,u32,79380,18,True
16,157,1,2026-08-13T18:18:31.480756,1786659511.480756,0.0,0.0,1.88,APP_COUNTER,0x0101,79406856,13,u32,78,18,True
17,160,3,2026-08-13T18:18:33.425999,1786659513.425999,1945.243,0.51,1.61,LUX_SYM_HEARTBEAT,0x0001,81406841,1999985,u32,81380,18,True
18,161,1,2026-08-13T18:18:33.425999,1786659513.425999,0.0,0.0,1.71,APP_COUNTER,0x0101,81406851,10,u32,80,18,True
19,162,1,2026-08-13T18:18:34.470417,1786659514.470417,1044.418,0.96,1.64,LUX_SYM_HEARTBEAT,0x0001,82406843,999992,u32,82380,18,True
20,163,1,2026-08-13T18:18:34.470417,1786659514.470417,0.0,0.0,1.73,APP_COUNTER,0x0101,82406856,13,u32,81,18,True
21,164,1,2026-08-13T18:18:35.402453,1786659515.402453,932.037,1.07,1.6,LUX_SYM_HEARTBEAT,0x0001,83406843,999987,u32,83380,18,True
22,165,1,2026-08-13T18:18:35.402453,1786659515.402453,0.0,0.0,1.73,APP_COUNTER,0x0101,83406853,10,u32,82,18,True
23,166,1,2026-08-13T18:18:36.499284,1786659516.499284,1096.83,0.91,1.58,LUX_SYM_HEARTBEAT,0x0001,84406843,999990,u32,84380,18,True
24,167,1,2026-08-13T18:18:36.499284,1786659516.499284,0.0,0.0,1.72,APP_COUNTER,0x0101,84406856,13,u32,83,18,True
25,168,1,2026-08-13T18:18:37.420164,1786659517.420164,920.881,1.09,1.59,LUX_SYM_HEARTBEAT,0x0001,85406843,999987,u32,85380,18,True
26,169,1,2026-08-13T18:18:37.420164,1786659517.420164,0.0,0.0,1.92,APP_COUNTER,0x0101,85406853,10,u32,84,18,True
27,170,1,2026-08-13T18:18:38.405403,1786659518.405403,985.239,1.01,1.74,LUX_SYM_HEARTBEAT,0x0001,86406843,999990,u32,86380,18,True
28,171,1,2026-08-13T18:18:38.405403,1786659518.405403,0.0,0.0,1.9,APP_COUNTER,0x0101,86406853,10,u32,85,18,True
29,172,1,2026-08-13T18:18:39.468559,1786659519.468559,1063.156,0.94,1.72,LUX_SYM_HEARTBEAT,0x0001,87406843,999990,u32,87380,18,True
30,173,1,2026-08-13T18:18:39.468559,1786659519.468559,0.0,0.0,1.89,APP_COUNTER,0x0101,87406853,10,u32,86,18,True
31,174,1,2026-08-13T18:18:40.492920,1786659520.492920,1024.361,0.98,1.72,LUX_SYM_HEARTBEAT,0x0001,88406845,999992,u32,88380,18,True
32,175,1,2026-08-13T18:18:40.492920,1786659520.492920,0.0,0.0,1.89,APP_COUNTER,0x0101,88406858,13,u32,87,18,True
33,176,1,2026-08-13T18:18:41.416348,1786659521.416348,923.428,1.08,1.73,LUX_SYM_HEARTBEAT,0x0001,89406843,999985,u32,89380,18,True
34,177,1,2026-08-13T18:18:41.416348,1786659521.416348,0.0,0.0,1.91,APP_COUNTER,0x0101,89406853,10,u32,88,18,True
35,178,1,2026-08-13T18:18:42.438100,1786659522.438100,1021.752,0.98,1.73,LUX_SYM_HEARTBEAT,0x0001,90406843,999990,u32,90380,18,True
36,179,1,2026-08-13T18:18:42.438100,1786659522.438100,0.0,0.0,2.11,APP_COUNTER,0x0101,90406853,10,u32,89,18,True
37,180,1,2026-08-13T18:18:43.461709,1786659523.461709,1023.609,0.98,1.89,LUX_SYM_HEARTBEAT,0x0001,91406843,999990,u32,91380,18,True
38,181,1,2026-08-13T18:18:43.461709,1786659523.461709,0.0,0.0,2.11,APP_COUNTER,0x0101,91406853,10,u32,90,18,True
39,182,1,2026-08-13T18:18:44.413545,1786659524.413545,951.835,1.05,1.91,LUX_SYM_HEARTBEAT,0x0001,92406843,999990,u32,92380,18,True
40,183,1,2026-08-13T18:18:44.413545,1786659524.413545,0.0,0.0,2.11,APP_COUNTER,0x0101,92406853,10,u32,91,18,True
41,184,1,2026-08-13T18:18:45.442486,1786659525.442486,1028.941,0.97,1.89,LUX_SYM_HEARTBEAT,0x0001,93406841,999988,u32,93380,18,True
42,185,1,2026-08-13T18:18:45.442486,1786659525.442486,0.0,0.0,2.12,APP_COUNTER,0x0101,93406851,10,u32,92,18,True
43,186,1,2026-08-13T18:18:46.430464,1786659526.430464,987.978,1.01,1.91,LUX_SYM_HEARTBEAT,0x0001,94406843,999992,u32,94380,18,True
44,187,1,2026-08-13T18:18:46.430464,1786659526.430464,0.0,0.0,2.11,APP_COUNTER,0x0101,94406856,13,u32,93,18,True
45,188,1,2026-08-13T18:18:47.402469,1786659527.402469,972.006,1.03,1.9,LUX_SYM_HEARTBEAT,0x0001,95406843,999987,u32,95380,18,True
46,189,1,2026-08-13T18:18:47.402469,1786659527.402469,0.0,0.0,2.11,APP_COUNTER,0x0101,95406853,10,u32,94,18,True
47,190,1,2026-08-13T18:18:48.479580,1786659528.479580,1077.111,0.93,1.89,LUX_SYM_HEARTBEAT,0x0001,96406843,999990,u32,96380,18,True
48,191,1,2026-08-13T18:18:48.479580,1786659528.479580,0.0,0.0,2.11,APP_COUNTER,0x0101,96406853,10,u32,95,18,True
49,192,1,2026-08-13T18:18:49.503764,1786659529.503764,1024.184,0.98,1.89,LUX_SYM_HEARTBEAT,0x0001,97406843,999990,u32,97380,18,True
50,193,1,2026-08-13T18:18:49.503764,1786659529.503764,0.0,0.0,2.11,APP_COUNTER,0x0101,97406853,10,u32,96,18,True
51,196,3,2026-08-13T18:18:51.478867,1786659531.478867,1975.103,0.51,1.73,LUX_SYM_HEARTBEAT,0x0001,99406843,1999990,u32,99380,18,True
52,197,1,2026-08-13T18:18:51.478867,1786659531.478867,0.0,0.0,1.89,APP_COUNTER,0x0101,99406856,13,u32,98,18,True
53,198,1,2026-08-13T18:18:52.479396,1786659532.479396,1000.529,1.0,1.72,LUX_SYM_HEARTBEAT,0x0001,100406843,999987,u32,100380,18,True
54,199,1,2026-08-13T18:18:52.479396,1786659532.479396,0.0,0.0,1.89,APP_COUNTER,0x0101,100406853,10,u32,99,18,True
55,200,1,2026-08-13T18:18:53.400113,1786659533.400113,920.718,1.09,1.73,LUX_SYM_HEARTBEAT,0x0001,101406843,999990,u32,101380,18,True
56,201,1,2026-08-13T18:18:53.400113,1786659533.400113,0.0,0.0,1.91,APP_COUNTER,0x0101,101406853,10,u32,100,18,True
