frame_index,seq_num,seq_delta,iso_timestamp,pc_recv_time_s,inter_frame_delay_ms,instant_fps,moving_avg_fps,symbol_name,symbol_id,esp_timestamp_us,esp_ts_delta_us,payload_type,payload_value,frame_bytes,crc_ok
1,170,1,2026-08-13T20:46:43.397163,1786668403.397163,0.0,0.0,0.0,LUX_SYM_HEARTBEAT,0x0001,85206855,0,u32,85180,18,True
2,171,1,2026-08-13T20:46:43.513001,1786668403.513001,115.838,8.63,8.63,APP_COUNTER,0x0101,85206865,10,u32,85,18,True
3,172,1,2026-08-13T20:46:43.516315,1786668403.516315,3.313,301.81,16.79,LUX_SYM_HEARTBEAT,0x0001,86206855,999990,u32,86180,18,True
4,173,1,2026-08-13T20:46:44.515002,1786668404.515002,998.687,1.0,2.68,APP_COUNTER,0x0101,86206865,10,u32,86,18,True
5,174,1,2026-08-13T20:46:44.521343,1786668404.521343,6.341,157.7,3.56,LUX_SYM_HEARTBEAT,0x0001,87206855,999990,u32,87180,18,True
6,175,1,2026-08-13T20:46:45.514680,1786668405.514680,993.337,1.01,2.36,APP_COUNTER,0x0101,87206865,10,u32,87,18,True
7,176,1,2026-08-13T20:46:45.517566,1786668405.517566,2.886,346.49,2.83,LUX_SYM_HEARTBEAT,0x0001,88206851,999986,u32,88180,18,True
8,177,1,2026-08-13T20:46:46.518510,1786668406.518510,1000.944,1.0,2.24,APP_COUNTER,0x0101,88206861,10,u32,88,18,True
9,178,1,2026-08-13T20:46:46.521757,1786668406.521757,3.247,308.02,2.56,LUX_SYM_HEARTBEAT,0x0001,89206855,999994,u32,89180,18,True
10,179,1,2026-08-13T20:46:47.516232,1786668407.516232,994.475,1.01,2.18,APP_COUNTER,0x0101,89206865,10,u32,89,18,True
11,180,1,2026-08-13T20:46:47.520927,1786668407.520927,4.695,212.97,2.42,LUX_SYM_HEARTBEAT,0x0001,90206855,999990,u32,90180,18,True
12,181,1,2026-08-13T20:46:48.526205,1786668408.526205,1005.277,0.99,2.14,APP_COUNTER,0x0101,90206865,10,u32,90,18,True
13,182,1,2026-08-13T20:46:48.545150,1786668408.545150,18.946,52.78,2.33,LUX_SYM_HEARTBEAT,0x0001,91206855,999990,u32,91180,18,True
14,183,1,2026-08-13T20:46:49.520657,1786668409.520657,975.507,1.03,2.12,APP_COUNTER,0x0101,91206865,10,u32,91,18,True
15,184,1,2026-08-13T20:46:49.524869,1786668409.524869,4.212,237.42,2.28,LUX_SYM_HEARTBEAT,0x0001,92206851,999986,u32,92180,18,True
16,185,1,2026-08-13T20:46:50.512029,1786668410.512029,987.16,1.01,2.11,APP_COUNTER,0x0101,92206861,10,u32,92,18,True
17,186,1,2026-08-13T20:46:50.515214,1786668410.515214,3.184,314.04,2.25,LUX_SYM_HEARTBEAT,0x0001,93206855,999994,u32,93180,18,True
18,187,1,2026-08-13T20:46:51.519065,1786668411.519065,1003.852,1.0,2.09,APP_COUNTER,0x0101,93206865,10,u32,93,18,True
19,188,1,2026-08-13T20:46:51.522717,1786668411.522717,3.651,273.87,2.22,LUX_SYM_HEARTBEAT,0x0001,94206855,999990,u32,94180,18,True
20,189,1,2026-08-13T20:46:52.513028,1786668412.513028,990.311,1.01,2.08,APP_COUNTER,0x0101,94206865,10,u32,94,18,True
21,190,1,2026-08-13T20:46:52.516376,1786668412.516376,3.348,298.68,2.11,LUX_SYM_HEARTBEAT,0x0001,95206855,999990,u32,95180,18,True
22,191,1,2026-08-13T20:46:53.512883,1786668413.512883,996.507,1.0,1.9,APP_COUNTER,0x0101,95206865,10,u32,95,18,True
23,192,1,2026-08-13T20:46:53.516576,1786668413.516576,3.693,270.79,2.11,LUX_SYM_HEARTBEAT,0x0001,96206855,999990,u32,96180,18,True
24,193,1,2026-08-13T20:46:54.512529,1786668414.512529,995.953,1.0,1.9,APP_COUNTER,0x0101,96206865,10,u32,96,18,True
25,194,1,2026-08-13T20:46:54.514691,1786668414.514691,2.162,462.54,2.11,LUX_SYM_HEARTBEAT,0x0001,97206855,999990,u32,97180,18,True
26,195,1,2026-08-13T20:46:55.513371,1786668415.513371,998.68,1.0,1.9,APP_COUNTER,0x0101,97206865,10,u32,97,18,True
27,196,1,2026-08-13T20:46:55.516358,1786668415.516358,2.987,334.74,2.11,LUX_SYM_HEARTBEAT,0x0001,98206855,999990,u32,98180,18,True
28,197,1,2026-08-13T20:46:56.512832,1786668416.512832,996.475,1.0,1.9,APP_COUNTER,0x0101,98206865,10,u32,98,18,True
29,198,1,2026-08-13T20:46:56.515916,1786668416.515916,3.083,324.31,2.11,LUX_SYM_HEARTBEAT,0x0001,99206855,999990,u32,99180,18,True
30,199,1,2026-08-13T20:46:57.513126,1786668417.513126,997.21,1.0,1.9,APP_COUNTER,0x0101,99206865,10,u32,99,18,True
31,200,1,2026-08-13T20:46:57.516314,1786668417.516314,3.188,313.71,2.11,LUX_SYM_HEARTBEAT,0x0001,100206855,999990,u32,100180,18,True
32,201,1,2026-08-13T20:46:58.513424,1786668418.513424,997.111,1.0,1.91,APP_COUNTER,0x0101,100206865,10,u32,100,18,True
33,202,1,2026-08-13T20:46:58.516748,1786668418.516748,3.323,300.9,2.11,LUX_SYM_HEARTBEAT,0x0001,101206855,999990,u32,101180,18,True
34,203,1,2026-08-13T20:46:59.519951,1786668419.519951,1003.203,1.0,1.9,APP_COUNTER,0x0101,101206865,10,u32,101,18,True
35,204,1,2026-08-13T20:46:59.523076,1786668419.523076,3.125,320.0,2.11,LUX_SYM_HEARTBEAT,0x0001,102206849,999984,u32,102180,18,True
